page 1,"https://www.amazon.com/s/ref=sr_pg_1?fst=as%3Aon&rh=n%3A1055398%2Cn%3A1063278%2Cn%3A1063298%2Cn%3A684541011%2Ck%3Aarea+rugs&keywords=area+rugs&ie=UTF8&qid=1501789698&spIA=B0168Y18HK,B0168Y1LOA,B01MYGFAXK,B06Y5VGDQJ,B073K1DKH5,B0742CVJRY,B06XSNH22G,B06XBHPFVK,B07424TKQX,B016WT6BNM,B06W5SXCXZ,B0716Y9D12,B01GIOSM2O,B00YFECHB2,B0168Y0DT4,B07427DB33,B01N3AMK9A,B06WGRJWW6,B01GS0VV62,B07428GBRN,B071JZLZN6,B01MUA3BTB,B00WGU6WSQ,B07234DWJX",
id,prod_name,prod_link
0,"nuLOOM Hand Loomed Diamond Cotton Check Flat Woven Area Rugs, 4' x 6', Grey",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_garden_sr_pg1_1?ie=UTF8&adId=A04204652LCJBZFIB758C&url=https%3A%2F%2Fwww.amazon.com%2FnuLOOM-Loomed-Diamond-Cotton-Check%2Fdp%2FB01HDWCIDO%2Fref%3Dsr_1_1_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-1-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_atf
1,Hand Woven Casual Solid Cotton Area Rug,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_garden_sr_pg1_2?ie=UTF8&adId=A041901712GONJUTLRPVT&url=https%3A%2F%2Fwww.amazon.com%2FHand-Woven-Casual-Solid-Cotton%2Fdp%2FB01DW8IP8U%2Fref%3Dsr_1_2_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-2-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_atf
2,Boho Area Rugs Retro Floral - MeMoreCool Home Living Mats Protective Decorative Carpets 1PC 75 X 98 Inch,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_garden_sr_pg1_3?ie=UTF8&adId=A0891368K6FGG6U103TJ&url=https%3A%2F%2Fwww.amazon.com%2FBoho-Area-Rugs-Retro-Floral%2Fdp%2FB01LZ6JXQ4%2Fref%3Dsr_1_3_sspa%2F144-3276506-6989910%3Fs%3Dfurniture%26ie%3DUTF8%26qid%3D1506502638%26sr%3D1-3-spons%26keywords%3Darea%2Brugs%26psc%3D1&qualifier=1506502638&id=963497654872142&widgetName=sp_atf
3,"Sweet Home Stores Cozy Shag Collection Solid Contemporary Living & Bedroom Soft Shaggy Area Rug, 5 feet by 7 feet, Grey",https://www.amazon.com/Sweet-Home-Stores-Collection-Contemporary/dp/B00W681BDY/ref=sr_1_4/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-4&keywords=area+rugs
4,"Ottomanson Paterson Collection Grey Contemporary Moroccan Trellis Design Lattice Area Rug, 7'10"" X 9'10""",https://www.amazon.com/Ottomanson-Paterson-Collection-Contemporary-Moroccan/dp/B00XWDFAE8/ref=sr_1_5/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-5&keywords=area+rugs
5,Safavieh California Shag Collection SG151-2727 Brown Area Rug (4' Square),https://www.amazon.com/Safavieh-California-Collection-SG151-2727-Square/dp/B00GGOCQRE/ref=sr_1_6/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-6&keywords=area+rugs
6,"Unique Loom Modern Plush Solid Shag Graphite Gray Color Contemporary Accent Area Rug, 96"" L x 60"" W",https://www.amazon.com/Unique-Loom-Modern-Graphite-Contemporary/dp/B0119S96D8/ref=sr_1_7/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-7&keywords=area+rugs
7,Safavieh Milan Shag Collection SG180-8484 Dark Grey Square Area Rug (7' Square),https://www.amazon.com/Safavieh-Milan-Collection-SG180-8484-Square/dp/B00NC1Y9WO/ref=sr_1_8/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-8&keywords=area+rugs
8,4620 Distressed Cream 3'11x5'3 Area Rug Carpet Large New,https://www.amazon.com/Distressed-Cream-311x53-Carpet-Large/dp/B01N9X96B9/ref=sr_1_9/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-9&keywords=area+rugs
9,Safavieh Hudson Shag Collection SGH280C Navy and Ivory Moroccan Ogee Plush Area Rug (10' x 14'),https://www.amazon.com/Safavieh-Hudson-Collection-SGH280C-Moroccan/dp/B01GS46GL8/ref=sr_1_10/144-3276506-6989910?s=furniture&ie=UTF8&qid=1506502638&sr=1-10&keywords=area+rugs
